segment_type,segment,queries,hit_rate_at_k,mrr_at_k,mean_candidate_cross_entropy
popularity,medium,35,0.5142857142857142,0.2042063492063492,12.928682755584287
popularity,popular,3,0.0,0.0,27.631021115928547
popularity,rare,37,0.10810810810810811,0.03453453453453453,23.22097115576701
basket_size,large,6,0.6666666666666666,0.2708333333333333,11.950896676509165
basket_size,medium,20,0.35,0.07722222222222222,18.267576755384287
basket_size,small,49,0.22448979591836735,0.1072562358276644,19.54114239571172
