left_sku,right_sku,raw_pair_count,weighted_pair_count,support,cosine,jaccard,lift,selected_edge_weight,left_to_right_confidence,right_to_left_confidence
001014-24-BO,1773910PL-00,1,0.03349949663902523,2.8819425530632063e-05,1.0,1.0,34698.81795308874,1.0,1.0,1.0
001014-24-BO,3660-355505-24,1,0.03349949663902523,2.8819425530632063e-05,0.6953322672535464,0.4834869618839572,16776.426073103386,0.6953322672535464,1.0,0.4834869618839572
001014-24-BO,600027-24-BK,1,0.03349949663902523,2.8819425530632063e-05,0.7104845088559808,0.5047882373243243,17515.555151777284,0.7104845088559808,1.0,0.5047882373243243
001014-24-BO,EN51847,1,0.03349949663902523,2.8819425530632063e-05,1.0,1.0,34698.81795308874,1.0,1.0,1.0
001014-24-BO,MAP447411,1,0.03349949663902523,2.8819425530632063e-05,1.0,1.0,34698.81795308874,1.0,1.0,1.0
001014-BO,001014-BU,1,0.00195771496131106,1.6842109941431657e-06,1.0,1.0,593749.8350726211,1.0,1.0,1.0
001014-BO,3660-001562,1,0.00195771496131106,1.6842109941431657e-06,1.0,1.0,593749.8350726211,1.0,1.0,1.0
001014-BU,3660-001562,1,0.00195771496131106,1.6842109941431657e-06,1.0,1.0,593749.8350726211,1.0,1.0,1.0
001304-PG,890139-GN,1,0.002071760040133397,1.7823233237602784e-06,1.0,1.0,561065.4288528514,1.0,1.0,1.0
001530,GJP71,1,0.0005251435146500801,4.517779647984809e-07,0.046242842270236464,0.0021384004612299687,4733.299602568749,0.046242842270236464,1.0,0.0021384004612299687
001530,ι14301,1,0.0005251435146500801,4.517779647984809e-07,0.6718409151300128,0.45137021524273313,999097.4558577026,0.6718409151300128,1.0,0.45137021524273313
0021780,0506053,1,0.012318803804361657,1.0597796518909071e-05,0.3944311580041219,0.15557593840447254,14680.026940212229,0.3944311580041219,0.15557593840447254,1.0
0021780,133008001,1,0.012318803804361657,1.0597796518909071e-05,0.3944311580041219,0.15557593840447254,14680.026940212229,0.3944311580041219,0.15557593840447254,1.0
0021780,231.10304,1,0.012318803804361657,1.0597796518909071e-05,0.2757032807202584,0.13378911200592838,7172.462583546402,0.2757032807202584,0.15557593840447254,0.48858647281492734
0021780,231.2031,1,0.012318803804361657,1.0597796518909071e-05,0.3944311580041219,0.15557593840447254,14680.026940212229,0.3944311580041219,0.15557593840447254,1.0
0021780,231.306227,1,0.012318803804361657,1.0597796518909071e-05,0.07809996329764086,0.03232726983809587,575.5540084403073,0.07809996329764086,0.15557593840447254,0.039206604373710124
0021780,231.310897,1,0.012318803804361657,1.0597796518909071e-05,0.3944311580041219,0.15557593840447254,14680.026940212229,0.3944311580041219,0.15557593840447254,1.0
0021780,DT956958,1,0.012318803804361657,1.0597796518909071e-05,0.3944311580041219,0.15557593840447254,14680.026940212229,0.3944311580041219,0.15557593840447254,1.0
0021780,MAP812510,1,0.012318803804361657,1.0597796518909071e-05,0.2570847796137935,0.12850764273424092,6236.4458301447285,0.2570847796137935,0.15557593840447254,0.42482523060373684
005041,05-24394,1,0.029736107816674195,2.5581803632092555e-05,1.0,1.0,39090.28520356136,1.0,1.0,1.0
005041,176-07971,1,0.029736107816674195,2.5581803632092555e-05,1.0,1.0,39090.28520356136,1.0,1.0,1.0
005041,G40906,1,0.029736107816674195,2.5581803632092555e-05,1.0,1.0,39090.28520356136,1.0,1.0,1.0
005820-P,293-339,1,0.0002806010042537622,2.413994405065538e-07,0.6152696976292361,0.37855680082077153,1568175.9660519762,0.6152696976292361,1.0,0.3785568008207716
005820-P,293-583,1,0.0002806010042537622,2.413994405065538e-07,0.11805827136926256,0.01393775543869844,57737.31459133204,0.11805827136926256,1.0,0.01393775543869844
005820-P,DT320307,1,0.0002806010042537622,2.413994405065538e-07,0.30980780732625957,0.09598087748030475,397601.9052856874,0.30980780732625957,1.0,0.09598087748030475
0072642,0584557-BG,1,0.08621446139343453,7.41698084769771e-05,1.0,1.0,13482.574925488827,1.0,1.0,1.0
0072642,0584557-GG,1,0.08621446139343453,7.41698084769771e-05,0.6997584117909194,0.48966183487214987,6601.902376816099,0.6997584117909194,1.0,0.48966183487214987
0072642,0584557-PB,1,0.08621446139343453,7.41698084769771e-05,0.7465479645475129,0.5573338633700345,7514.295571398644,0.7465479645475129,1.0,0.5573338633700345
0072642,0622342,1,0.08621446139343453,7.41698084769771e-05,1.0,1.0,13482.574925488827,1.0,1.0,1.0
0072642,133421730,1,0.08621446139343453,7.41698084769771e-05,0.7114714556792967,0.5061916322464175,6824.76660841781,0.7114714556792967,1.0,0.5061916322464175
0072642,231.388384,1,0.08621446139343453,7.41698084769771e-05,1.0,1.0,13482.574925488827,1.0,1.0,1.0
0072642,571-50265-L,1,0.08621446139343453,7.41698084769771e-05,0.9957199661906089,0.9914582510706272,13367.410155553844,0.9957199661906089,1.0,0.9914582510706272
008.8357,16-03237,1,0.000433330119631174,3.7279142571778914e-07,0.6910926301352288,0.4776090234272281,1281169.550795377,0.6910926301352288,0.47760902342722805,1.0
008.8357,29.212-1BD,1,0.00047396035935032136,4.0774538877267307e-07,0.7227661977242515,0.5223909765727719,1281169.5507953768,0.7227661977242515,0.5223909765727719,1.0
008.8357,KON842904,1,0.00047396035935032136,4.0774538877267307e-07,0.31028907329650446,0.15772717559094337,236126.05233135162,0.31028907329650446,0.5223909765727719,0.18430507670492138
008.8357,MAP846715,1,0.00047396035935032136,4.0774538877267307e-07,0.7227661977242515,0.5223909765727719,1281169.5507953768,0.7227661977242515,0.5223909765727719,1.0
008.8357,MCF10725-8,1,0.00047396035935032136,4.0774538877267307e-07,0.3273966229175064,0.1727758543213687,262881.08130524517,0.3273966229175064,0.5223909765727719,0.2051883617918043
008.8357,PM70415,1,0.000433330119631174,3.7279142571778914e-07,0.6910926301352288,0.4776090234272281,1281169.550795377,0.6910926301352288,0.47760902342722805,1.0
008.8357,PM9324,1,0.00047396035935032136,4.0774538877267307e-07,0.7227661977242515,0.5223909765727719,1281169.5507953768,0.7227661977242515,0.5223909765727719,1.0
0114439,9786180128277,1,0.0004284792554863501,3.6861825501354326e-07,0.9086824234048126,0.8257037466048431,2239996.8948214636,0.9086824234048126,0.8257037466048431,1.0
0114439,BXC-V7L,1,9.044688145826918e-05,7.781093527321556e-08,0.012309719303858754,0.0008658113153150336,1947.4022360447443,0.012309719303858754,0.17429625339515672,0.0008693772034000789
0114439,MAP810010,1,0.0004284792554863501,3.6861825501354326e-07,0.9086824234048126,0.8257037466048431,2239996.8948214636,0.9086824234048126,0.8257037466048431,1.0
0114439,MAP832812,1,0.0004284792554863501,3.6861825501354326e-07,0.9086824234048126,0.8257037466048431,2239996.8948214636,0.9086824234048126,0.8257037466048431,1.0
0114439,MAP846020,2,0.0005189261369446193,4.4642919028675886e-07,0.35594017466525096,0.12669340794072936,283792.84038158273,0.35594017466525096,1.0,0.12669340794072936
012234000,0579774,1,0.004581807365660602,3.941702694616949e-06,0.8378108094848618,0.7019269524896793,178077.0917726183,0.8378108094848618,0.7019269524896793,1.0
012234000,0579846,1,0.0006123826290134386,5.268292763702558e-07,0.0255370672172192,0.006513904075175551,1237.861734924629,0.0255370672172192,0.09381622539668812,0.0069512688162339294
012234000,108583213,1,0.0013332803487987302,1.147013465238092e-06,0.021328490166108258,0.002207963001701862,396.5990867172161,0.021328490166108258,0.20425682211363264,0.0022271201914259835
012234000,12307479,1,0.0006123826290134386,5.268292763702558e-07,0.24290193351329964,0.08889516166189947,111993.30020344823,0.24290193351329964,0.09381622539668812,0.6289034658452834
012234000,139125700,1,0.004581807365660602,3.941702694616949e-06,0.17330333780201682,0.04202441519098034,7619.56170218937,0.17330333780201682,0.7019269524896793,0.042787994942766576
012234000,300.970999-4,1,0.0013332803487987302,1.147013465238092e-06,0.0705013231339893,0.02222709256009917,4333.372461858094,0.0705013231339893,0.20425682211363264,0.0243342499516516
012234000,341-43400,1,0.0013332803487987302,1.147013465238092e-06,0.021795731267008612,0.002304883708222247,414.1659325377206,0.021795731267008612,0.20425682211363264,0.002325767612302191
012234000,347-44580,1,0.0006123826290134386,5.268292763702558e-07,0.30629434437594194,0.09381622539668812,178077.09177261827,0.30629434437594194,0.09381622539668812,1.0
014521,559-90230,1,0.02072101537083715,1.7826171116352033e-05,0.23240064336699115,0.05747952422362775,3029.8182758858247,0.23240064336699115,0.057706537753201184,0.9359435020756427
015255-24-GN,337-04413,1,0.030003854677361063,2.581214472634161e-05,0.5177246738351966,0.2680388378977608,10384.21412631488,0.5177246738351966,1.0,0.26803883789776073
01922-GD,MAP192611,1,0.08806382138914978,7.576080231339662e-05,0.5229361159149563,0.27346218132822064,3609.547060985452,0.5229361159149563,1.0,0.27346218132822064
01936,18/31801,1,0.03177946950369234,2.7339696014945975e-05,0.01965425661103705,0.004966243145136731,14.129264740958272,0.01965425661103705,0.07286817908683864,0.005301213887506964
02-3660BLA,BL-G2-10L,1,0.496928642196187,0.00042750487125611434,0.9306831071034367,0.866171045847707,2026.108014401529,0.9306831071034367,1.0,0.8661710458477071
02-3660BLA,BL-G2-5L,1,0.496928642196187,0.00042750487125611434,0.7397374509134108,0.5472114962838709,1280.0123064704014,0.7397374509134108,1.0,0.5472114962838709
02-3660BLA,BL-G2-7B,1,0.496928642196187,0.00042750487125611434,0.8291117528209478,0.6874262986658243,1607.9964110022818,0.8291117528209478,1.0,0.6874262986658244
02-3660BLA,BX-V5B,1,0.496928642196187,0.00042750487125611434,1.0,1.0,2339.154632464782,1.0,1.0,1.0
02-3660BLA,MAP106711,1,0.496928642196187,0.00042750487125611434,0.6317567542885509,0.39911659658920456,933.5954358052154,0.6317567542885509,1.0,0.39911659658920456
02822-BK,02822-RE,1,0.5014608368502225,0.0004314038924184247,1.0,1.0,2318.0133920305148,1.0,1.0,1.0
02822-BK,02822-YE,1,0.5014608368502225,0.0004314038924184247,1.0,1.0,2318.0133920305148,1.0,1.0,1.0
02822-RE,02822-YE,1,0.5014608368502225,0.0004314038924184247,1.0,1.0,2318.0133920305148,1.0,1.0,1.0
03123-WH,0620620,1,0.9084592536710895,0.0007815423046771299,0.9188820278469668,0.8443441811001539,1080.3563364992362,0.9188820278469668,0.8443441811001539,1.0
03123-WH,17101821-99,1,0.9084592536710895,0.0007815423046771299,0.9188820278469668,0.8443441811001539,1080.3563364992362,0.9188820278469668,0.8443441811001539,1.0
03123-WH,231.20301,1,0.9084592536710895,0.0007815423046771299,0.9188820278469668,0.8443441811001539,1080.3563364992362,0.9188820278469668,0.8443441811001539,1.0
03123-WH,231.942753,1,0.9084592536710895,0.0007815423046771299,0.9188820278469668,0.8443441811001539,1080.3563364992362,0.9188820278469668,0.8443441811001539,1.0
03123-WH,280488,1,0.9084592536710895,0.0007815423046771299,0.9188820278469668,0.8443441811001539,1080.3563364992362,0.9188820278469668,0.8443441811001539,1.0
03123-WH,338172,1,0.9084592536710895,0.0007815423046771299,0.3441203213255879,0.1367146591480148,151.51936733373245,0.3441203213255879,0.8443441811001539,0.1402494364264226
03123-WH,BPGP-10R-MR,1,0.9084592536710895,0.0007815423046771299,0.9188820278469668,0.8443441811001539,1080.3563364992362,0.9188820278469668,0.8443441811001539,1.0
