node_index,node_id,node_type,node_value,embedding_00,embedding_01,embedding_02,embedding_03,embedding_04,embedding_05,embedding_06,embedding_07,embedding_08,embedding_09,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15,embedding_16,embedding_17,embedding_18,embedding_19,embedding_20,embedding_21,embedding_22,embedding_23,embedding_24,embedding_25,embedding_26,embedding_27,embedding_28,embedding_29,embedding_30,embedding_31,embedding_32,embedding_33,embedding_34,embedding_35,embedding_36,embedding_37,embedding_38,embedding_39,embedding_40,embedding_41,embedding_42,embedding_43,embedding_44,embedding_45,embedding_46,embedding_47
0,age::από 1 έτουσ,age,από 1 έτουσ,0.05540874143864901,-0.2239859617489361,0.1784581624251704,0.13712109988894924,0.10592349537232167,0.044250644963000026,0.04371060417948007,-0.004951694655681,0.11466446239971236,0.03321821512818802,-0.08411953224143968,-0.0005250236247719477,-0.08495526847568569,-0.07901537694938826,0.18320378748399205,0.00868997020762425,-0.08377550706959155,0.0631211725697482,0.0632790188645062,-0.06560715262347337,-0.025311458774059527,-0.2957263372002529,-0.12639724482707337,-0.19085161615558155,0.14895087619487743,0.1758335288756222,-0.17824985021414252,0.09830796766716139,0.11900599302084493,-0.007429075188082032,-0.1269681246577507,0.2846903911632988,-0.1813398264455105,-0.2281486429343371,-0.005535074494898654,0.07637231266451627,0.036139068011687606,0.03437473375865171,0.1893295113138792,0.3223422557235716,-0.1911099831675175,0.03606363469451271,-0.07582047298456938,-0.2223269643232833,-0.22526072730323096,-0.08466440481560995,0.24075098830671013,0.0701762344270271
1,age::από 10 ετών,age,από 10 ετών,0.06506129896966081,-0.16693451253793917,0.07078390517851253,0.10992364198303105,0.12084726390632222,0.06822252188935714,0.07616147416576632,-0.06593256278372882,0.14154078541504678,0.01850421167145031,-0.04584689482653933,-0.11352841463427618,-0.008257831158486923,0.01843371945380555,0.2503574552055283,0.09389089256084113,-0.08385763791514424,0.0794142175795718,0.12011919528435515,-0.1664159555239564,-0.07508987252806061,-0.2814496016204471,-0.2067696703468171,-0.21208629401047824,0.07895986909693309,0.09113034887740645,-0.18685748777912453,0.11532900896028307,0.07678410003136786,-0.046187453025665036,-0.05355770255988407,0.24857542707111568,-0.11225882410404994,-0.21902056088097202,0.021304448259041608,0.08718411842455955,0.0169801748289721,-0.004117917356725939,0.23414132271792376,0.276321279501687,-0.1714091240658728,0.0471695871647609,-0.08006448110658486,-0.1600996422140451,-0.2656697961277875,-0.09450971021198777,0.31731660112777527,0.08173831323243894
2,age::από 11 ετών,age,από 11 ετών,-0.018639419158740185,-0.28748837895436136,-0.02190892611167201,0.23227015076981142,0.14954021178390925,0.09467139914697525,-0.03875753004440215,0.1159479230047073,0.20595632287517196,0.0663055873716996,-0.09973475027408478,-0.1782007142625789,-0.20122826558955637,0.14606736885214766,0.05981549512454963,-0.07703919520247901,0.03483080132063729,0.18395721813199342,-0.06192081221902101,0.05532376932777883,-0.050770700356984305,-0.050830237823421685,-0.1453199637527533,-0.04592303804153421,0.019037304777548114,0.2846847883701277,-0.23963899780174364,-0.05864788221632994,-0.02109654777823537,-0.056629870115606454,-0.21007011482019636,-0.09122253040195125,-0.3119918996142163,-0.1990037528957979,-0.016071920024245068,0.13220613347500365,0.023756197539292596,0.006536831563631485,0.13883586185399271,-0.09679586683484481,0.07343936042570634,-0.07075248087989125,0.08082623512045381,-0.1846477607204072,-0.18959085114080873,-0.1078991511500326,0.2013571442246512,0.25424729649873024
3,age::από 12 ετών,age,από 12 ετών,0.017146263141836142,-0.27897909115129627,0.10960436496150686,0.1630611910001,0.1039143945703774,-0.004021239406683163,0.08903291738079003,0.0815836593593937,0.09608899734828175,0.0077025357613480245,-0.10314257239387536,0.04519178168371258,-0.09623292872961778,-0.04386133606831347,0.20440405055948813,0.07271517568058646,-0.12804994083218232,0.1013208431929544,0.0041886464707761506,-0.12057984329877844,-0.015765981100168382,-0.2698986692775659,-0.13165912320566414,-0.13985491532944258,0.05275840456944754,0.22512161544167458,-0.17489176154468483,0.15371885142864838,0.09081489346355552,0.008525970387174711,-0.11880827558563511,0.18006608507374552,-0.18019534458721093,-0.12067065551466034,0.054729239187140906,0.1115444378257962,0.03860412620961718,0.0339780239653955,0.20458646985424683,0.25187186593787864,-0.18757421287991166,0.01049718831046057,-0.07123481080622619,-0.27343621159655307,-0.2321276580650235,-0.11718442491870062,0.3010231717694779,0.141878828981184
4,age::από 13 ετών,age,από 13 ετών,-0.06131995829765159,0.249720650218016,-0.1906416813104057,-0.2236687610724607,-0.09491111559201265,0.021751456323174965,-0.06146807644458616,-0.03868878544331291,-0.08007566057889144,0.093749699746114,0.03764787112780667,-0.03657734451660978,0.03776316957005024,0.019903472496083343,-0.17426660085688853,0.057119297650459276,0.0007542030494392964,-0.027863525606275006,0.0036361576367647413,0.09524905325933894,-0.06493983305198596,0.29273683146433066,0.15873626132874746,0.1829047090654601,-0.17628028041865468,-0.23576159253884393,0.20615983720657402,-0.20732633535444256,-0.153538351718528,0.02046866756080127,0.10629652509739793,-0.06114529916951306,0.09109299533580129,0.24036810305214834,-0.0855542848125352,-0.022255340281204652,-0.03502638309678534,-0.10812652335680822,-0.21403087082307093,-0.17396488411527034,0.24717316823261723,0.07365760670977235,0.1852678001085931,0.19919518420284044,0.16313194125288996,0.10423255299690748,-0.22439537460983372,-0.13603923474764967
5,age::από 14 ετών,age,από 14 ετών,0.06544033491819351,-0.1939628097114444,0.09423239880160685,0.194375318295492,0.155626200771886,0.03360169165496398,0.05320558471688233,-0.010427700605583873,0.18278496053601823,-0.03588568631581369,-0.027411625065578416,-0.02451984081706067,-0.07156052812304972,-0.052904827045610475,0.21701859984083333,0.10107064625696005,-0.07135037322777225,0.0625438306990759,-0.011216225853414991,-0.07414874353931572,-0.008599866793833342,-0.20870072446510476,-0.20751281489312662,-0.18682072730092822,0.10472770572365196,0.16956765142305982,-0.19070235158375193,0.08062634726467631,0.06004580245329017,-0.1086428568675861,-0.16810373709083348,0.22218579800242533,-0.16430871290146642,-0.18636333276665742,0.02798424203964481,-0.0015599920194427986,-0.04784647792587219,0.026894068923518446,0.224953940929542,0.28807473948446494,-0.265578737368814,-0.03664043210657406,-0.1401807541420788,-0.26976294739498746,-0.17419833909720153,-0.057825299782587554,0.23665829364798177,0.13003405217932462
6,age::από 15 ετών,age,από 15 ετών,-0.02477348586585129,-0.3413186742863293,0.17891989153612503,0.008522753839185075,0.13175044959442703,-0.039367014134540856,0.052174906603348316,0.0774286381645269,0.15844780367669561,0.0779408004944492,0.053768634609700994,0.10430761186033972,-0.010707735900845288,-0.024647649017973797,0.13412285027712934,0.18909993490986432,0.040842146250603784,-0.08001264229214532,-0.03158321197440822,-0.053520356106641076,0.020300930976178924,-0.2753836832235514,-0.18369544815627856,-0.12087785541908888,-0.024684268858638413,0.07139711299005784,-0.19002759281654158,0.2161248290511343,0.009064490229684766,0.03640945779999652,-0.11662682320355931,0.2891503133929938,-0.1221460598768398,-0.10963933950079369,0.07706588894035779,0.1010970783617841,0.09472228391852594,0.11338123143446482,0.2849077574676802,0.22883097795752572,-0.1394472569384132,0.030946922107338137,0.057360507643387404,-0.2994778480460268,-0.15371903210986276,0.09141160547722338,0.18789351209694716,0.1447116145201326
7,age::από 16 ετών,age,από 16 ετών,-0.12646512015562936,0.24499689228434304,-0.22647093137532925,-0.1049380032463519,-0.1654791532113258,0.07018980547071381,0.09247078670576855,-0.05705105460656949,-0.0304049182414512,0.07826685082834699,0.23479647030960515,-0.13617232237113766,0.04858918458255246,-0.019142290068223326,-0.06140489840653635,-0.07676269603228579,0.06461049673169944,0.016482277280037712,-0.15462948808618338,0.09410744017907179,0.11153242269473403,0.35404982034084254,0.1498715409369541,0.16328498302251865,0.02761431785327595,-0.21871869236044958,0.06849294899207313,-0.15336646909805499,-0.005585119422747049,-0.022933624669433557,0.11630842848149026,-0.08578829734926814,0.016333863958451662,0.21964422430642533,0.038699095013217104,-0.13661847924634948,-0.06576147056385565,-0.03492152359658919,-0.2514275821569199,-0.1884952498375121,0.3339007117245765,-0.0046656833044300145,0.10038060519231877,0.15459443371013193,0.22924281825099205,0.14110067327944842,0.0059159142236988056,-0.1054630132144445
8,age::από 17 ετών,age,από 17 ετών,-0.007078097641734135,0.34974865857844445,-0.07735754560183096,0.15055906280668435,-0.06723450687140729,0.1676626091623168,-0.0065634226146499665,-0.1169405760067933,-0.07447800360492593,-0.04829597919738668,-0.17329596706467096,-0.058439146528788136,0.10346776589730536,-0.07048236594159837,-0.06812975595603474,0.006728402028316426,0.04409953551543015,0.0900521083317124,0.051333508930239184,0.00559055203248421,0.25542074434303536,0.20980690853957007,0.05254141630061425,0.2352779865282729,-0.09411294524237364,0.02457949138351141,0.04843484297345298,0.02961804652077314,-0.29341322681699256,0.13701177033742873,-0.12720542535869442,-0.21737293635359872,-0.05099525039328646,0.06726180739942553,-0.13080838962289296,0.14270354549989245,-0.03653502150514485,-0.14328326445298828,-0.2789561808695352,-0.21328928716448187,0.17999807578452828,0.16069483067844356,-0.06106503794725473,0.28160817680079,0.07703279233427632,0.16044540240336672,-0.012782332678330165,-0.13036067723179415
9,age::από 18 ετών,age,από 18 ετών,0.108134473694317,-0.17748119267161078,0.17207465375394948,0.14016978133950148,0.05683526755941769,0.0064518342185521625,-0.1007591679294002,0.07559798465631093,0.1980417275392454,-0.02896902369358918,-0.042749622287857156,-0.029295046294222134,-0.007853045925182708,0.018157645026696055,0.1276510428488826,-0.09629280343039524,-0.29936075436170195,0.14040216775879621,0.10113502716397443,-0.03635420678921432,-0.16673469885758746,-0.09747721495435523,0.14010294744844723,-0.12545955384052979,0.13227657204747692,0.20771520231558158,0.047217749948197114,0.0899910381413614,-0.022880236402228166,-0.13733531592944842,0.13723357485739793,0.19575968373486546,-0.24752893564155506,-0.20978752782638552,-0.059341238389655965,0.21878605270028417,-0.08275066499164087,0.1267051124101225,0.02262902258709206,0.11239598784772901,-0.3164334163919259,0.06696827826856032,-0.0735192345918675,-0.26857262786384645,-0.049858881726318846,-0.19365116356365483,0.23429439393143459,0.09432637003861297
10,age::από 2 ετών,age,από 2 ετών,0.04764601897287413,-0.19143037934750468,0.14205104881476077,0.2050987265374611,0.04286096712677452,0.024394839984142793,0.028956627875376333,-0.1115258330154337,0.22013956696618078,0.0763315005649371,0.006344970892300467,0.029352563591542827,-0.05988169882770212,-0.013555987638677793,0.16213390112763632,0.03771244303494282,-0.0854646851628095,0.08184910983013866,-0.03319209729436819,-0.035892049364722234,0.007632009884185244,-0.15733582203892824,-0.017477918982180686,-0.2368091308833574,0.09720910648903656,0.2524637681216233,-0.11127989314775677,0.1190749207322983,0.15610825381448273,-0.014383259728107023,-0.14766208681744442,0.31751638163033863,-0.22615642042227857,-0.1571195797245382,-0.07333321655509352,-0.06902501179953585,-0.01389254240745102,-0.0040792975421017185,0.13622661986358828,0.3014309395689431,-0.1728168172875608,-0.06122066203799585,-0.10351224083146598,-0.16767140814077247,-0.3148865913616188,-0.08880997638974085,0.24662392317395054,0.12655286144214545
11,age::από 3 ετών,age,από 3 ετών,-0.002959755270226789,-0.23512986904188543,0.1657809853267394,0.15434256663310816,0.10546264543013936,0.04656021333413754,-0.005683719270764682,-0.010041118795540179,0.13634010853419304,0.032357594021564594,-0.05032651932146758,0.006486842323726657,-0.08935789535529096,-0.0874197858662473,0.1860244873473928,0.03403438045147231,-0.08035358395532655,0.10489332117256468,0.0437615578715991,-0.05580899107078516,-0.06245383678036377,-0.29290255432934637,-0.1707936998726842,-0.1980805566241824,0.08212898933313052,0.20072738269957327,-0.15974861472777035,0.15219227048586084,0.14751305654458002,-0.0197679093802409,-0.11660863593547562,0.24809204170948268,-0.15585096222507278,-0.20042037202537263,0.011222236469843166,0.08674147739703993,0.04424640353617916,0.00902844914803661,0.16280871344297557,0.2607841998133068,-0.22666348294297167,0.016840069746506467,-0.08939542106541991,-0.23663227412793908,-0.23841241077222636,-0.10780525478558502,0.2527825963477277,0.12689060077094627
12,age::από 4 ετών,age,από 4 ετών,0.0032635529108040696,-0.2701028694397016,0.1997767615314044,0.16937650648621716,0.11311649509023097,0.03259003278364171,0.009106584627345739,0.0020584299750756236,0.16349933273449618,0.0967801316404575,-0.04612105074046961,0.012454528482494467,-0.07389640093786341,-0.11625929665344305,0.18786152675193057,0.010093316736801345,-0.10625760249696908,0.08948618895963174,0.056240418416355104,-0.05823340391215618,-0.06862261905657724,-0.2813534110538288,-0.15471643365809817,-0.16519710078125904,0.0953136442496848,0.19295668428106935,-0.16514758009340644,0.12759243188024202,0.19440964587992807,-0.007891102591944043,-0.06300292956957833,0.20992003987894783,-0.16675185397618247,-0.17434635412877628,0.023693497684837996,0.1051546379020412,0.08050734800020685,0.046188362229176404,0.17609555366537438,0.2859712887861622,-0.1807335742723453,0.005623999711217118,-0.08337713343230332,-0.24620024533537824,-0.21624974185082613,-0.10366902763212411,0.2385674059752925,0.09545859985057069
