weight_copurchase,weight_product2vec,weight_metadata,weight_text,k,candidate_k,evaluated_queries,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,candidate_recall,catalog_coverage_at_k
0.4,0.1,0.1,0.4,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.21439536340852128,0.5526315789473685,0.10798415676464457
0.3,0.2,0.2,0.3,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.2108343776106934,0.5526315789473685,0.10902647488013342
0.2,0.3,0.2,0.3,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.20501775271512113,0.5394736842105263,0.10715030227225349
0.4,0.1,0.2,0.3,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.20334168755221388,0.5789473684210527,0.10735876589535126
0.5,0.2,0.1,0.2,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.20268379281537177,0.5526315789473685,0.10569105691056911
0.4,0.1,0.4,0.1,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.1990810359231412,0.6052631578947368,0.10735876589535126
0.6,0.1,0.1,0.2,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.19676274018379283,0.5526315789473685,0.10715030227225349
0.4,0.2,0.1,0.3,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.1966165413533835,0.5394736842105263,0.10652491140296018
0.5,0.1,0.3,0.1,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.19566624895572265,0.6052631578947368,0.10798415676464457
0.5,0.1,0.1,0.3,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.19566624895572263,0.5526315789473685,0.10819262038774234
0.3,0.1,0.2,0.4,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.1949874686716792,0.5789473684210527,0.10610798415676465
0.4,0.2,0.3,0.1,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.1888314536340852,0.5657894736842105,0.10798415676464457
0.2,0.2,0.2,0.4,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.1829469507101086,0.5526315789473685,0.10735876589535126
0.3,0.3,0.3,0.1,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.18287385129490394,0.5526315789473685,0.10715030227225349
0.1,0.3,0.2,0.4,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.17391917293233083,0.5526315789473685,0.10735876589535126
0.1,0.4,0.2,0.3,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.17353279030910612,0.5526315789473685,0.10715030227225349
0.3,0.2,0.4,0.1,10.0,100.0,76.0,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.1706296992481203,0.5921052631578947,0.10860954763393788
0.3,0.3,0.1,0.3,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.21657268170426064,0.5263157894736842,0.10631644777986242
0.3,0.2,0.1,0.4,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.21198308270676694,0.5394736842105263,0.10673337502605795
0.3,0.3,0.2,0.2,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.20652151211361736,0.5394736842105263,0.10819262038774234
0.4,0.1,0.3,0.2,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.2029761904761905,0.5921052631578947,0.10840108401084012
0.2,0.3,0.1,0.4,10.0,100.0,76.0,0.039473684210526314,0.39473684210526316,0.39473684210526316,0.20211466165413536,0.5263157894736842,0.1050656660412758
