model,split,k,candidate_k,evaluated_queries,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,candidate_recall,catalog_coverage_at_k
global_popularity,development,10,100,76,0.009210526315789473,0.09210526315789473,0.09210526315789473,0.02929197994987469,0.19736842105263158,0.002293099854075464
category_popularity,development,10,100,76,0.017105263157894738,0.17105263157894737,0.17105263157894737,0.06614974937343358,0.34210526315789475,0.023347925786950177
copurchase,development,10,100,76,0.02368421052631579,0.23684210526315788,0.23684210526315788,0.12850877192982454,0.23684210526315788,0.04898895142797582
product2vec,development,10,100,76,0.018421052631578946,0.18421052631578946,0.18421052631578946,0.11666666666666665,0.27631578947368424,0.1077756931415468
metadata,development,10,100,76,0.02236842105263158,0.2236842105263158,0.2236842105263158,0.08914473684210526,0.5131578947368421,0.10214717531790703
tfidf_name,development,10,100,76,0.031578947368421054,0.3157894736842105,0.3157894736842105,0.17656641604010026,0.47368421052631576,0.10569105691056911
frozen_hybrid,development,10,100,76,0.031578947368421054,0.3157894736842105,0.3157894736842105,0.16519423558897242,0.5394736842105263,0.10569105691056911
tuned_four_signal,development,10,100,76,0.04078947368421053,0.40789473684210525,0.40789473684210525,0.21439536340852128,0.5526315789473685,0.10798415676464457
