metric,point_estimate,lower_95,upper_95,bootstrap_samples
hit_rate_at_k,0.37333333333333335,0.26666666666666666,0.4803333333333315,2000
recall_at_k,0.37333333333333335,0.26666666666666666,0.4803333333333315,2000
mrr_at_k,0.1536243386243386,0.09496957671957673,0.22357605820105803,2000
