model,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,catalog_coverage_at_k,delta_vs_original_precision_at_k,delta_vs_original_recall_at_k,delta_vs_original_hit_rate_at_k,delta_vs_original_mrr_at_k,delta_vs_original_catalog_coverage_at_k
original_product2vec_adamic_adar,0.0293333333333333,0.2933333333333333,0.2933333333333333,0.1123333333333333,0.0682996602896477,0.0,0.0,0.0,0.0,0.0
selected_final_model,0.0373333333333333,0.3733333333333333,0.3733333333333333,0.1536243386243386,0.0759878419452887,0.008,0.08000000000000002,0.08000000000000002,0.04129100529100531,0.007688181655640988
