model,segment,queries,hit_rate_at_k,mrr_at_k,candidate_recall,candidate_pool_recall
frozen_v1,medium,7,0.2857142857142857,0.17142857142857143,0.42857142857142855,1.0
frozen_v1,popular,4,0.25,0.25,0.5,0.75
frozen_v1,rare,13,0.3076923076923077,0.24615384615384617,0.46153846153846156,0.6923076923076923
expanded_candidates_v2,medium,7,0.2857142857142857,0.17142857142857143,0.42857142857142855,1.0
expanded_candidates_v2,popular,4,0.25,0.25,0.5,1.0
expanded_candidates_v2,rare,13,0.3076923076923077,0.2435897435897436,0.46153846153846156,1.0
