model,k,candidate_k,evaluated_queries,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,candidate_recall,candidate_pool_recall,catalog_coverage_at_k
fixed_40_10_10_40,10,100,70,0.041428571428571426,0.4142857142857143,0.4142857142857143,0.27580498866213154,0.6714285714285714,0.8,0.11162451361867705
logistic_ranker,10,100,70,0.007142857142857143,0.07142857142857142,0.07142857142857142,0.033333333333333326,0.34285714285714286,0.8,0.04377431906614786
