model,order_id,seed_sku,target_sku,held_out_basket_size,target_train_orders,popularity_segment,target_rank,hit_at_k,reciprocal_rank_at_k,target_in_candidates,target_in_retrieved_pool,retrieved_candidate_count,top_prediction,top_k_skus
fixed_40_10_10_40,52496,BXS-IC-B-S3,EGB56703,3,2,rare,236,0,0.0,0,1,1273,BXC-V7L,BXC-V7L | BL-G2-XS-7L | BL-FR7-60 | BPGP-10R-ML | BPGP-10R-FL | SW-PTF-F6 | 20/96040 | EK1071 | 230.572558 | EK232-02
fixed_40_10_10_40,52513,IT8905,ΜΕΤ82092,4,2,rare,0,0,0.0,0,0,1265,29.628-89,29.628-89 | TB120471 | 819-98831 | 4-05774 | DT5708ES | 4-05121 | lr10436 | 4-05918 | GVG37 | 29.008-975
fixed_40_10_10_40,52515,820-62607,54886,2,5,medium,5,1,0.2,1,1,1075,EN69743,EN69743 | 820-72415 | 36/40081 | lr10435 | 54886 | 0621966 | SUS2347 | SUS2348 | 4-05121 | 29.628-89
fixed_40_10_10_40,52517,820-62607,54886,2,5,medium,5,1,0.2,1,1,1075,EN69743,EN69743 | 820-72415 | 36/40081 | lr10435 | 54886 | 0621966 | SUS2347 | SUS2348 | 4-05121 | 29.628-89
fixed_40_10_10_40,52518,IT16951,MAP907039,2,2,rare,0,0,0.0,0,0,1309,IT16952,IT16952 | IT11214 | EN087229 | IT8905 | 237.617073 | IT9003 | IT09430 | IT11207 | IT91164 | IT6105
fixed_40_10_10_40,52536,IT16951,IT8905,2,18,popular,4,1,0.25,1,1,1309,IT16952,IT16952 | IT11214 | EN087229 | IT8905 | 237.617073 | IT9003 | IT09430 | IT11207 | IT91164 | IT6105
fixed_40_10_10_40,52537,IT16951,IT16952,2,46,popular,1,1,1.0,1,1,1309,IT16952,IT16952 | IT11214 | EN087229 | IT8905 | 237.617073 | IT9003 | IT09430 | IT11207 | IT91164 | IT6105
fixed_40_10_10_40,52548,ΜΕΤ81837,ΒΑΣΙΛ/Μ003,2,1,rare,71,0,0.0,1,1,1298,ΕΔ709001,ΕΔ709001 | 9786180144352 | ΜΕΤ83171 | ΠΑ12.600 | SUS2316 | HKI-9295-RE | 9789605935382 | CL20025 | 176-08116 | 9789605935849
fixed_40_10_10_40,52552,IT16952,IT16951,2,138,popular,1,1,1.0,1,1,1303,IT16951,IT16951 | IT11214 | IT8905 | 237.617073 | 29.2129MI | IT09430 | IT91164 | IT11207 | IT6105 | DTDTS-3117
fixed_40_10_10_40,52555,POL1839,ΜΕΤ82301,2,2,rare,0,0,0.0,0,0,1247,ΜΙΝ14230,ΜΙΝ14230 | 23-1907B | FHP66 | FHP61 | SUS2117 | 0621802 | SUS2116 | SUS2112 | 176-08179 | POL14298
fixed_40_10_10_40,52562,IT16952,IT16951,2,138,popular,1,1,1.0,1,1,1303,IT16951,IT16951 | IT11214 | IT8905 | 237.617073 | 29.2129MI | IT09430 | IT91164 | IT11207 | IT6105 | DTDTS-3117
fixed_40_10_10_40,52565,IT16951,IT16952,2,46,popular,1,1,1.0,1,1,1309,IT16952,IT16952 | IT11214 | EN087229 | IT8905 | 237.617073 | IT9003 | IT09430 | IT11207 | IT91164 | IT6105
fixed_40_10_10_40,52584,819-88840,43574,2,6,medium,0,0,0.0,0,0,1287,50311,50311 | 331-49031 | HLW71 | FK52431 | FK44376 | FK55970 | LEG203120 | DT-4568-T | 819-03990 | 1867-25078
fixed_40_10_10_40,52586,IT16951,IT16952,2,46,popular,1,1,1.0,1,1,1309,IT16952,IT16952 | IT11214 | EN087229 | IT8905 | 237.617073 | IT9003 | IT09430 | IT11207 | IT91164 | IT6105
fixed_40_10_10_40,52610,HBP41,GRP99,2,2,rare,91,0,0.0,1,1,1286,CHP85,CHP85 | FWT15 | GKD45 | BJL04 | GHL93 | FTN22 | DCH13 | FJD08 | DPK28 | MAP870703
