model,metric,point_estimate,lower_95,upper_95,bootstrap_samples
fixed_40_10_10_40,hit_rate_at_k,0.4142857142857143,0.3,0.5285714285714286,2000
fixed_40_10_10_40,recall_at_k,0.4142857142857143,0.3,0.5285714285714286,2000
fixed_40_10_10_40,mrr_at_k,0.27580498866213154,0.18112244897959184,0.3673721655328798,2000
logistic_ranker,hit_rate_at_k,0.07142857142857142,0.014285714285714285,0.12857142857142856,2000
logistic_ranker,recall_at_k,0.07142857142857142,0.014285714285714285,0.12857142857142856,2000
logistic_ranker,mrr_at_k,0.033333333333333326,0.0047619047619047615,0.07142857142857141,2000
