model,popularity_segment,queries,hit_rate_at_10,mrr_at_10,candidate_recall_at_100,candidate_pool_recall
fixed_40_10_10_40,medium,15,0.4,0.08841269841269842,0.6,0.8666666666666667
fixed_40_10_10_40,popular,19,0.8421052631578947,0.7675438596491229,0.8421052631578947,0.8947368421052632
fixed_40_10_10_40,rare,36,0.19444444444444445,0.09435626102292768,0.6111111111111112,0.7222222222222222
logistic_ranker,medium,15,0.0,0.0,0.26666666666666666,0.8666666666666667
logistic_ranker,popular,19,0.2631578947368421,0.12280701754385963,0.7368421052631579,0.8947368421052632
logistic_ranker,rare,36,0.0,0.0,0.16666666666666666,0.7222222222222222
