model,rare_seed_queries,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k
base,90,0.0288888888888889,0.13447293447293446,0.14444444444444443,0.06399470899470901
metadata_enhanced,90,0.0288888888888889,0.13447293447293446,0.14444444444444443,0.06084656084656086
