model_base,order_id,cart_skus,target_sku,cart_size_base,target_train_orders_base,popularity_segment_base,basket_segment_base,top_prediction_base,top_k_skus_base,target_rank_base,hit_at_k_base,reciprocal_rank_at_k_base,candidate_cross_entropy_base,model_enhanced,cart_size_enhanced,target_train_orders_enhanced,popularity_segment_enhanced,basket_segment_enhanced,top_prediction_enhanced,top_k_skus_enhanced,target_rank_enhanced,hit_at_k_enhanced,reciprocal_rank_at_k_enhanced,candidate_cross_entropy_enhanced
base,56402,733.611 | SW-PT-FGD,SW-PT-FPO,2,1,rare,medium,SW-PT-FV,SW-PT-FV | SW-PT-FLG | SW-PT-FL | SW-PT-FB | SW-PT-FR | SW-PT-MW | SW-PT-FML | SW-PT-FW | SW-PT-FPL | SW-PT-FMV,20,0,0.0,4.546376197658321,metadata_enhanced,2,1,rare,medium,SAL3405,SAL3405 | SW-PT-FV | SW-PT-FLG | SW-PT-FL | SW-PT-FB | SW-PT-FR | SW-PT-FPO | SW-PT-FML | SW-PT-FPL | EK232-02,7,1,0.14285714285714285,4.470230344837381
base,57856,DTTT13963Z,0621817,1,3,medium,small,41688-F,41688-F | IT09430 | IT11207 | 689-11 | R7160 | SI001789 | IT17489 | lr08951 | IT9423 | 04-UKU-02BL,11,0,0.0,4.536523408852483,metadata_enhanced,1,3,medium,small,IT09430,IT09430 | lr08951 | 41688-F | IT11207 | IT11214 | 0621817 | CL5012 | DTFZ0771GC | 689-11 | 820-98378,6,1,0.16666666666666666,4.533690882821109
