model,selected_transfer_weight,k,evaluated_orders,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,mean_candidate_cross_entropy,catalog_coverage_at_k
base,0.2,10,75,0.029333333333333333,0.29333333333333333,0.29333333333333333,0.11233333333333331,18.5943052340882,0.06829966028964778
metadata_enhanced,0.2,10,75,0.02666666666666667,0.26666666666666666,0.26666666666666666,0.07377248677248678,18.3194135738016,0.07759699624530664
