model,split,precision_at_k,recall_at_k,hit_rate_at_k,mrr_at_k,catalog_coverage,evaluated_queries,eligible_queries,skipped_queries
copurchase,train,0.25520000000000037,0.9463834054834055,0.972,0.8165031746031748,0.19637273295809882,250,5312,4998
copurchase,dev,0.04744897959183673,0.22023809523809534,0.32653061224489793,0.21419865565273735,0.10318949343339587,196,196,1678
