trial,n_components,walk_length,walks_per_node,window_size,negative_samples,epochs,learning_rate,p,q,train_precision_at_k,train_recall_at_k,train_hit_rate_at_k,train_mrr_at_k,train_catalog_coverage,train_evaluated_queries,train_eligible_queries,train_skipped_queries,dev_precision_at_k,dev_recall_at_k,dev_hit_rate_at_k,dev_mrr_at_k,dev_catalog_coverage,dev_evaluated_queries,dev_eligible_queries,dev_skipped_queries,hit_rate_generalization_gap,diagnosis
3,48,8,2,3,2,2,0.05,1.0,1.0,0.22280000000000022,0.7634170274170272,0.812,0.7018301587301587,0.33729414217219095,250,5312,4998,0.0433673469387755,0.18962585034013607,0.2857142857142857,0.18570011337868478,0.1746925161559308,196,196,1678,0.5262857142857144,possible_high_variance
2,16,8,2,4,3,2,0.05,1.0,0.5,0.1628000000000001,0.554683116883117,0.696,0.5791746031746031,0.3239524702939337,250,5312,4998,0.039285714285714285,0.1539115646258503,0.24489795918367346,0.1928632167152575,0.18740879716489472,196,196,1678,0.4511020408163265,possible_high_variance
4,48,8,1,3,2,1,0.025,2.0,0.5,0.039999999999999966,0.22357063492063498,0.32,0.21084285714285722,0.3612674588284344,250,5312,4998,0.013265306122448983,0.054421768707483,0.10204081632653061,0.05580255911888564,0.21784448613716906,196,196,1678,0.2179591836734694,possible_high_variance
1,16,10,2,3,2,2,0.01,2.0,0.5,0.0172,0.0844033189033189,0.144,0.07248888888888888,0.3606420679591411,250,5312,4998,0.003061224489795918,0.012755102040816327,0.030612244897959183,0.006731859410430839,0.21304982280592036,196,196,1678,0.1133877551020408,possible_high_variance
